French,English,difficulty
partie,part,1
histoire,history,2
chercher,search,3
seulement,only,3
police,police,2
pensais,thought,1
aide,help,1
demande,request,2
genre,kind,3
mois,month,3
frère,brother,2
laisser,let,1
car,because,1
mettre,to put,2
aucun,no,3
laisse,leash,3
eux,them,2
ville,city,1
chaque,each,1
parlé,speak,2
arrivé,come,3
devrait,should,3
bébé,baby,2
longtemps,long time,1
heures,hours,1
vont,will,2
pendant,while,3
revoir,meet again,3
aucune,any,2
place,square,1
parle,speak,1
compris,understood,2
savais,knew,3
étaient,were,3
attention,Warning,2
voici,here is,2
pourrais,could,1
affaire,case,1
donner,give,2
type,type,2
leurs,their,3
donné,given,3
train,train,3
corps,body,2
endroit,place,2
yeux,eyes,1
façon,way,1
écoute,listen,2
dont,whose,2
trouve,find,2
premier,first,3
perdu,lost,3
main,hand,3
première,first,3
côté,side,2
pouvoir,power,2
vieux,old,1
sois,be,1
tiens,here,1
matin,morning,2
tellement,so much,2
enfant,child,2
point,point,2
venu,came,3
suite,after,3
pardon,sorry,3
venez,come,1
devant,in front of,2
vers,towards,2
minutes,minutes,1
demandé,request,1
chambre,bedroom,1
mis,placed,1
belle,beautiful,2
droit,law,2
aimerais,would like to,3
aujourd'hui,today,2
mari,husband,3
cause,cause,3
enfin,finally,3
espère,hope,2
eau,water,2
attendez,Wait,1
parti,left,1
nouvelle,new,1
boulot,job,1
arrêter,Stop,1
dirait,would say,1
terre,Earth,2
compte,account,2
donne,given,2
loin,far,2
fin,end,2
croire,believe,2
chérie,sweetheart,3
gros,large,2
plutôt,rather,1
aura,will have,1
filles,girls,2
jouer,to play,3
bureau,office,3
